lf_time_ms,event_time_ms,key,state
1000.000,0.000,KEY_ENTER,DOWN
1000.000,63.997,KEY_ENTER,UP
1000.000,207.881,KEY_ENTER,DOWN
1000.000,271.882,KEY_ENTER,UP
1000.000,415.977,KEY_ENTER,DOWN
1000.000,447.978,KEY_ENTER,UP
1500.000,575.976,KEY_ENTER,DOWN
1500.000,623.985,KEY_ENTER,UP
1500.000,767.860,KEY_ENTER,DOWN
1500.000,799.844,KEY_ENTER,UP
1500.000,927.841,KEY_ENTER,DOWN
2000.000,975.966,KEY_ENTER,UP
2000.000,1103.961,KEY_ENTER,DOWN
2000.000,1167.970,KEY_ENTER,UP
2000.000,1263.958,KEY_ENTER,DOWN
2000.000,1343.965,KEY_ENTER,UP
2000.000,1423.954,KEY_ENTER,DOWN
2500.000,1519.963,KEY_ENTER,UP
2500.000,1599.961,KEY_ENTER,DOWN
2500.000,1711.949,KEY_ENTER,UP
2500.000,1823.975,KEY_ENTER,DOWN
2500.000,1951.975,KEY_ENTER,UP
3000.000,1999.939,KEY_ENTER,DOWN
3000.000,2143.951,KEY_ENTER,UP
3000.000,2271.932,KEY_ENTER,DOWN
3000.000,2383.982,KEY_ENTER,UP
3500.000,2511.930,KEY_ENTER,DOWN
3500.000,2575.827,KEY_ENTER,UP
3500.000,2703.924,KEY_ENTER,DOWN
3500.000,2783.933,KEY_ENTER,UP
3500.000,2879.932,KEY_ENTER,DOWN
4000.000,2991.958,KEY_ENTER,UP
4000.000,3039.915,KEY_ENTER,DOWN
4000.000,3151.922,KEY_ENTER,UP
4000.000,3247.920,KEY_ENTER,DOWN
4500.000,3503.404,KEY_ENTER,HOLD
4500.000,3537.403,KEY_ENTER,HOLD
4500.000,3551.908,KEY_ENTER,UP
4500.000,3615.913,KEY_ENTER,DOWN
4500.000,3870.405,KEY_ENTER,HOLD
4500.000,3904.407,KEY_ENTER,HOLD
4500.000,3919.907,KEY_ENTER,UP
5000.000,3983.892,KEY_ENTER,DOWN
5000.000,4111.785,KEY_ENTER,UP
5000.000,4287.888,KEY_ENTER,DOWN
5000.000,4351.894,KEY_ENTER,UP
5500.000,4655.890,KEY_ENTER,DOWN
5500.000,4703.893,KEY_ENTER,UP
7500.000,6927.876,KEY_ENTER,DOWN
8000.000,7007.883,KEY_ENTER,UP
9000.000,8223.883,KEY_ENTER,DOWN
9000.000,8303.843,KEY_ENTER,UP
10000.000,9247.808,KEY_ENTER,DOWN
10000.000,9311.794,KEY_ENTER,UP
10500.000,9471.775,KEY_ENTER,DOWN
10500.000,9503.783,KEY_ENTER,UP
10500.000,9647.781,KEY_ENTER,DOWN
10500.000,9679.773,KEY_ENTER,UP
11500.000,10687.782,KEY_ENTER,DOWN
11500.000,10735.776,KEY_ENTER,UP
12000.000,11039.773,KEY_ENTER,DOWN
12000.000,11087.742,KEY_ENTER,UP
