******* Using Python version: 3.12.3

=== STARTUP ===
[TIME] logical=0.00
[TIME] physical=1.12
[STATUS] LLM READY
[DATA] v=30.00 | s=197.00
[DATA] v=30.00 | s=194.00
[DATA] v=30.00 | s=191.00
[DATA] v=30.00 | s=188.00
[LLM] WARNING | Slow down from 30m/s to maintain speed.
[DATA] v=30.00 | s=185.00
[DATA] v=30.00 | s=182.00
[DATA] v=29.89 | s=179.01
[DATA] v=29.78 | s=176.03
[DATA] v=29.67 | s=173.07
[DATA] v=29.56 | s=170.11
[DATA] v=29.45 | s=167.17
[DATA] v=29.32 | s=164.23
[DATA] v=29.20 | s=161.31
[DATA] v=29.20 | s=158.39
[DATA] v=29.20 | s=155.47
[DATA] v=29.20 | s=152.55
[DATA] v=28.98 | s=149.66
[DATA] v=28.66 | s=146.79
[DATA] v=28.32 | s=143.96
[DATA] v=28.09 | s=141.15
[DATA] v=27.94 | s=138.35
[DATA] v=27.74 | s=135.58
[DATA] v=27.43 | s=132.84
[DATA] v=27.09 | s=130.13
[DATA] v=26.91 | s=127.44
[DATA] v=26.80 | s=124.76
[DATA] v=26.66 | s=122.09
[DATA] v=26.36 | s=119.45
[DATA] v=25.97 | s=116.86
[LLM] ACTUATE | Slow down from 30m/s to maintain speed of 11m/s as you approach the sign at 116.86 meters
[DATA] v=25.57 | s=114.30
[DATA] v=25.17 | s=111.78
[DATA] v=24.77 | s=109.31
[DATA] v=24.37 | s=106.87
[DATA] v=23.97 | s=104.47
[DATA] v=23.57 | s=102.12
[DATA] v=23.17 | s=99.80
[DATA] v=22.77 | s=97.52
[DATA] v=22.37 | s=95.29
[DATA] v=21.97 | s=93.09
[DATA] v=21.57 | s=90.93
[DATA] v=21.17 | s=88.82
[DATA] v=20.77 | s=86.74
[DATA] v=20.37 | s=84.70
[DATA] v=19.97 | s=82.71
[DATA] v=19.57 | s=80.75
[DATA] v=19.17 | s=78.83
[DATA] v=18.77 | s=76.96
[DATA] v=18.37 | s=75.12
[DATA] v=17.97 | s=73.32
[DATA] v=17.57 | s=71.56
[DATA] v=17.17 | s=69.85
[DATA] v=16.77 | s=68.17
[DATA] v=16.37 | s=66.53
[DATA] v=15.97 | s=64.94
[DATA] v=15.57 | s=63.38
[DATA] v=15.17 | s=61.86
[DATA] v=14.77 | s=60.39
[DATA] v=14.37 | s=58.95
[DATA] v=13.97 | s=57.55
[DATA] v=13.61 | s=56.19
[DATA] v=13.30 | s=54.86
[DATA] v=13.02 | s=53.56
[DATA] v=12.78 | s=52.28
[DATA] v=12.57 | s=51.03
[DATA] v=12.38 | s=49.79
[DATA] v=12.21 | s=48.57
[DATA] v=12.07 | s=47.36
[DATA] v=11.94 | s=46.17
[DATA] v=11.83 | s=44.98
[DATA] v=11.73 | s=43.81
[DATA] v=11.64 | s=42.65
[DATA] v=11.56 | s=41.49
[DATA] v=11.50 | s=40.34
[DATA] v=11.44 | s=39.20
[DATA] v=11.38 | s=38.06
[LLM] ACTUATE | Maintain speed as you approach the sign at a distance of 38.06 meters.
[DATA] v=11.34 | s=36.92
[DATA] v=11.30 | s=35.79
[DATA] v=11.26 | s=34.67
[DATA] v=11.23 | s=33.55
[DATA] v=11.20 | s=32.43
[DATA] v=11.18 | s=31.31
[DATA] v=11.16 | s=30.19
[DATA] v=11.14 | s=29.08
[DATA] v=11.12 | s=27.97
[DATA] v=11.11 | s=26.86
[DATA] v=11.09 | s=25.75
[DATA] v=11.08 | s=24.64
[DATA] v=11.07 | s=23.53
[DATA] v=11.06 | s=22.42
[DATA] v=11.06 | s=21.32
[DATA] v=11.05 | s=20.21
[LLM] ACTUATE | Maintain speed as you approach the sign at a distance of 20.21 meters.
[DATA] v=11.04 | s=19.11
[DATA] v=11.04 | s=18.00
[DATA] v=11.03 | s=16.90
[DATA] v=11.03 | s=15.80
[DATA] v=11.03 | s=14.70
[DATA] v=11.02 | s=13.59
[DATA] v=11.02 | s=12.49
[DATA] v=11.02 | s=11.39
[DATA] v=11.02 | s=10.29
[DATA] v=11.01 | s=9.19
[DATA] v=11.01 | s=8.09
[DATA] v=11.01 | s=6.98
[DATA] v=11.01 | s=5.88
[DATA] v=11.01 | s=4.78
[DATA] v=11.01 | s=3.68
[DATA] v=11.01 | s=2.58
[LLM] ACTUATE | Maintain speed as you approach the sign at a distance of 2.58 meters.
[DATA] v=11.01 | s=1.48
