******* Using Python version: 3.12.3

=== STARTUP ===
[TIME] logical=0.00
[TIME] physical=1.43
[STATUS] LLM READY
[DATA] v=30.00 | s=197.00
[DATA] v=30.00 | s=194.00
[DATA] v=30.00 | s=191.00
[DATA] v=30.00 | s=188.00
[DATA] v=29.92 | s=185.01
[DATA] v=29.85 | s=182.02
[DATA] v=29.77 | s=179.05
[DATA] v=29.70 | s=176.08
[DATA] v=29.62 | s=173.11
[DATA] v=29.54 | s=170.16
[DATA] v=29.47 | s=167.21
[DATA] v=29.39 | s=164.27
[DATA] v=29.31 | s=161.34
[DATA] v=29.24 | s=158.42
[DATA] v=29.16 | s=155.50
[DATA] v=29.09 | s=152.59
[DATA] v=29.01 | s=149.69
[DATA] v=28.94 | s=146.80
[DATA] v=28.87 | s=143.91
[DATA] v=28.80 | s=141.03
[DATA] v=28.73 | s=138.16
[DATA] v=28.67 | s=135.29
[DATA] v=28.59 | s=132.43
[DATA] v=28.52 | s=129.58
[DATA] v=28.44 | s=126.74
[DATA] v=28.35 | s=123.90
[DATA] v=28.28 | s=121.07
[DATA] v=28.21 | s=118.25
[DATA] v=28.15 | s=115.44
[DATA] v=28.08 | s=112.63
[DATA] v=28.01 | s=109.83
[DATA] v=27.94 | s=107.04
[DATA] v=27.85 | s=104.25
[DATA] v=27.66 | s=101.49
[LLM] WARNING | Slow down and prepare to come to a complete stop at the upcoming stop sign, making sure to check both sides before proceeding safely!
[DATA] v=27.43 | s=98.74
[DATA] v=27.19 | s=96.02
[DATA] v=26.83 | s=93.34
[DATA] v=26.45 | s=90.70
[DATA] v=26.16 | s=88.08
[DATA] v=25.87 | s=85.49
[DATA] v=25.51 | s=82.94
[DATA] v=25.31 | s=80.41
[DATA] v=25.08 | s=77.90
[DATA] v=24.36 | s=75.47
[DATA] v=23.87 | s=73.08
[DATA] v=23.59 | s=70.72
[DATA] v=23.37 | s=68.38
[DATA] v=23.12 | s=66.07
[DATA] v=22.91 | s=63.78
[DATA] v=22.71 | s=61.51
[DATA] v=22.56 | s=59.25
[DATA] v=22.48 | s=57.01
[DATA] v=22.41 | s=54.77
[DATA] v=22.33 | s=52.53
[DATA] v=22.25 | s=50.31
[DATA] v=22.18 | s=48.09
[DATA] v=22.10 | s=45.88
[DATA] v=22.02 | s=43.68
[DATA] v=21.95 | s=41.48
[DATA] v=21.87 | s=39.30
[DATA] v=21.79 | s=37.12
